"filename", "language", "Java", "SQLite", "Markdown", "Database", "CSV", "JSON", "comment", "blank", "total"
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\App.java", "Java", 5, 0, 0, 0, 0, 0, 5, 3, 13
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\MainMenu.java", "Java", 456, 0, 0, 0, 0, 0, 14, 54, 524
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\Menu.java", "Java", 3, 0, 0, 0, 0, 0, 0, 2, 5
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 9, 19
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\.VSCodeCounter\2022-07-22_00-35-26\details.md", "Markdown", 0, 0, 49, 0, 0, 0, 0, 6, 55
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\.VSCodeCounter\2022-07-22_00-35-26\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 6, 15
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\.VSCodeCounter\2022-07-22_00-35-26\diff.csv", "CSV", 0, 0, 0, 0, 2, 0, 0, 0, 2
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\.VSCodeCounter\2022-07-22_00-35-26\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 7, 19
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\.VSCodeCounter\2022-07-22_00-35-26\results.csv", "CSV", 0, 0, 0, 0, 42, 0, 0, 0, 42
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\.VSCodeCounter\2022-07-22_00-35-26\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\.VSCodeCounter\2022-07-22_00-35-26\results.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 7, 30
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\.VSCodeCounter\2022-07-22_02-24-35\details.md", "Markdown", 0, 0, 56, 0, 0, 0, 0, 6, 62
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\.VSCodeCounter\2022-07-22_02-24-35\diff-details.md", "Markdown", 0, 0, 24, 0, 0, 0, 0, 6, 30
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\.VSCodeCounter\2022-07-22_02-24-35\diff.csv", "CSV", 0, 0, 0, 0, 17, 0, 0, 0, 17
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\.VSCodeCounter\2022-07-22_02-24-35\diff.md", "Markdown", 0, 0, 24, 0, 0, 0, 0, 7, 31
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\.VSCodeCounter\2022-07-22_02-24-35\results.csv", "CSV", 0, 0, 0, 0, 49, 0, 0, 0, 49
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\.VSCodeCounter\2022-07-22_02-24-35\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\.VSCodeCounter\2022-07-22_02-24-35\results.md", "Markdown", 0, 0, 27, 0, 0, 0, 0, 7, 34
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\App.class", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 11
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\ConsoleColors.class", "Java", 13, 0, 0, 0, 0, 0, 0, 0, 13
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\Currency.class", "Java", 19, 0, 0, 0, 0, 0, 0, 0, 19
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\CustomException\FinishArgumentException.class", "Java", 6, 0, 0, 0, 0, 0, 0, 0, 6
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\CustomException\StopArgumentException.class", "Java", 6, 0, 0, 0, 0, 0, 0, 0, 6
"d:\School\1_KCGI\2022 Spring\Object Oriented Programming\Programming\jp\kcgi\twentytwo\spring\oop\PersonalFinance\bin\Database.class", "Java", 117, 0, 0, 0, 0, 0, 0, 2, 119
